event_id,drug,resolved,path,chembl_id,hand_moa,ot_moa,hand_target,ot_target,hand_modality,ot_modality,ot_indications
aducanumab-2021,aducanumab,True,direct,CHEMBL3039540,anti-amyloid mAb,Amyloid-beta A4 protein binding agent,amyloid-beta,APP,mab,mab,Alzheimer disease; dementia
lecanemab-2023,lecanemab,True,direct,CHEMBL3833321,anti-amyloid mAb,Amyloid-beta A4 protein inhibitor,amyloid-beta,APP,mab,mab,Cognitive impairment; Alzheimer disease; dementia
donanemab-2024,donanemab,True,direct,CHEMBL4297245,anti-amyloid mAb,Amyloid-beta A4 protein disrupting agent,amyloid-beta,APP,mab,mab,Alzheimer disease; Cognitive impairment; dementia
gantenerumab-2022,gantenerumab,True,direct,CHEMBL1743025,anti-amyloid mAb,Amyloid-beta A4 protein binding agent,amyloid-beta,APP,mab,mab,Alzheimer disease
solanezumab-2023,solanezumab,True,direct,CHEMBL1743072,anti-amyloid mAb,Amyloid-beta A4 protein binding agent,amyloid-beta,APP,mab,mab,Alzheimer disease; Cognitive impairment
crenezumab-2022,crenezumab,True,direct,CHEMBL1743004,anti-amyloid mAb,Amyloid-beta A4 protein inhibitor,amyloid-beta,APP,mab,mab,Alzheimer disease
bapineuzumab-2012,bapineuzumab,True,direct,CHEMBL2108576,anti-amyloid mAb,Amyloid-beta A4 protein binding agent,amyloid-beta,APP,mab,mab,Alzheimer disease
karxt-2022,KarXT,True,alias,CHEMBL21536,muscarinic agonist,Muscarinic acetylcholine receptor M1 agonist,CHRM1/CHRM4,CHRM1,small_molecule,small_molecule,schizophrenia
zuranolone-2019,zuranolone,True,direct,CHEMBL4105630,gaba-a positive modulator,GABA-A receptor; anion channel positive allosteric modulator,GABRA,GABRA1,small_molecule,small_molecule,postpartum depression; Parkinson disease; depressive disorder; essential tremor
axs05-2022,AXS-05,True,alias,CHEMBL52440,nmda antagonist,Sigma opioid receptor agonist,GRIN,SIGMAR1,small_molecule,small_molecule,autism; drug interaction; voice disorders; opioid dependence
pimavanserin-drp-2021,pimavanserin,True,direct,CHEMBL2111101,5-ht2a inverse agonist,Serotonin 2a (5-HT2a) receptor inverse agonist,HTR2A,HTR2A,small_molecule,small_molecule,schizophrenia; neurodegenerative disease; Parkinson disease; psychosis
lumateperone-2019,lumateperone,True,direct,CHEMBL3306803,d2/5-ht2a modulator,Serotonin transporter inhibitor,DRD2/HTR2A,SLC6A4,small_molecule,small_molecule,insomnia; major depressive disorder; depressive disorder; bipolar disorder
eteplirsen-2016,eteplirsen,True,direct,CHEMBL2108278,exon-skipping antisense,Dystrophin pre-mRNA positive modulator,dystrophin,DMD,antisense,antisense,Duchenne muscular dystrophy; muscular dystrophy
golodirsen-2019,golodirsen,True,direct,CHEMBL4297762,exon-skipping antisense,Dystrophin pre-mRNA positive modulator,dystrophin,DMD,antisense,antisense,Duchenne muscular dystrophy; muscular dystrophy
casimersen-2021,casimersen,True,direct,CHEMBL4297566,exon-skipping antisense,Dystrophin pre-mRNA positive modulator,dystrophin,DMD,antisense,antisense,muscular dystrophy; Duchenne muscular dystrophy
srp9001-2023,SRP-9001,True,direct,CHEMBL4650241,aav gene therapy,Dystrophin exogenous gene,microdystrophin,DMD,gene_therapy,gene,Becker muscular dystrophy; Duchenne muscular dystrophy
valrox-2020,valoctocogene roxaparvovec,True,direct,CHEMBL4297579,aav gene therapy,Coagulation factor IX exogenous protein,factor-viii,F9,gene_therapy,gene,hemophilia A; hemorrhage; hemophilia
hemgenix-2022,etranacogene dezaparvovec,True,direct,CHEMBL5095451,aav gene therapy,Coagulation factor IX exogenous protein,factor-ix,F9,gene_therapy,gene,hemophilia B; hemorrhage
